filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,date_of_decree,decree_year,county,state,physical_address,mailing_address,mailing_state,mailing_county,taxable_year_end,total_net_worth,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,does_grantee_own_other_real_estate_in_puerto_rico,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,does_grantee_have_a_business_in_puerto_rico,n_business,business_information_table_height,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,business_type_7,business_decree_7,business_type_8,business_decree_8,business_type_9,business_decree_9,business_type_10,business_decree_10,business_type_11,business_decree_11,business_type_12,business_decree_12,business_type_13,business_decree_13,business_type_14,business_decree_14,business_type_15,business_decree_15,household_table_height,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,n_charities,gender
2022-RepAct22-009435_Redacted.pdf,01/16/2023,FALSE,NA,NA,06/14/2021,2021,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 5 to 10 million,0,0,0,0,6255365,0,0,128419,0,0,Own,1500000,NA,NA,No,0,TRUE,2020,2021,0,45000,45000,0,1500000,1500000,0,0,0,0,1e+07,1e+07,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,188,50000,Yes,0,2,REDACTED
2022-RepAct22-009437_Redacted.pdf,01/16/2023,FALSE,NA,NA,02/27/2017,2017,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 5 to 10 million,74,0,46230,0,0,0,0,0,0,47730,Own,9e+05,NA,NA,No,0,TRUE,2020,2021,720000,720000,0,9e+05,9e+05,0,0,0,0,0,0,0,Yes,1,35,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,183,19000,No,0,0,REDACTED
2022-RepAct22-009448_Redacted.pdf,01/15/2023,FALSE,NA,NA,04/09/2014,2014,san juan,Puerto Rico,"san juan, Puerto Rico","san juan, Puerto Rico",Puerto Rico,san juan,04/09/2014,From 5 to 10 million,0,780,0,20,81243,0,0,0,0,0,Rent,NA,2500,NA,NA,0,TRUE,2020,2021,6980000,6780000,-2e+05,0,0,0,20000,20000,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,113,34000,No,0,0,REDACTED
2022-RepAct22-009449_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2018,2018,DORADO,PUERTO RICO,"DORADO, PUERTO RICO","DORADO, PUERTO RICO",PUERTO RICO,DORADO,12/31/2021,From 1 to 5 million,668,0,735628,0,4152,0,0,0,23876,246583,Own,2300000,NA,NA,No,0,TRUE,2020,2021,0,5e+06,5e+06,0,1e+06,1e+06,0,0,0,0,0,0,Yes,1,80,Financial,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,325,250000,Yes,0,1,REDACTED
2022-RepAct22-009457_Redacted.pdf,03/02/2023,FALSE,NA,NA,10/01/2020,2020,ISABELA,PR,"ISABELA, PR","ISABELA, PR",PR,ISABELA,12/31/2021,Less than 1 million,0,0,270000,5,0,0,0,0,0,0,Own,235000,NA,NA,No,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,45,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,365,18000,No,0,0,REDACTED
2022-RepAct22-009459_Redacted.pdf,01/17/2023,FALSE,NA,NA,10/21/2021,2021,HUMACAO,PR,"HUMACAO, PR","HUMACAO, PR",PR,HUMACAO,12/31/2021,From 1 to 5 million,0,0,0,0,0,0,0,0,0,0,Own,475000,NA,NA,Yes,1,TRUE,2020,2021,0,49170.96,49170.96,0,1495000,1495000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,214,70000,No,0,0,REDACTED
2022-RepAct22-009464_Redacted.pdf,01/05/2023,FALSE,NA,NA,01/01/2019,2019,DORADO,PUERTO RICO,"DORADO, PUERTO RICO","DORADO, PUERTO RICO",PUERTO RICO,DORADO,12/31/2021,From 25 to 50 million,47927,0,1822070,0,53976,21524,0,1283,0,287359,Own,8e+06,NA,NA,No,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,50,Art,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,200,390000,Yes,0,1,REDACTED
2022-RepAct22-009466_Redacted.pdf,01/17/2023,TRUE,real_estate_identification_number_1,2412100001026075,01/01/2021,2021,Dorado,PR,"Dorado, PR","Dorado, PR",PR,Dorado,12/31/2021,From 1 to 5 million,542,0,5134,0,594,0,0,514924,0,134336,Own,1500000,NA,NA,Yes,1,TRUE,2020,2021,0,0,0,0,1800000,1800000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,240,50000,Yes,150,2,REDACTED
2022-RepAct22-009468_Redacted.pdf,01/19/2023,FALSE,NA,NA,12/15/2019,2019,RINCON,PR,"RINCON, PR","RINCON, PR",PR,RINCON,12/31/2021,From 1 to 5 million,49,0,4275,0,726722,935,0,0,3110416,3474171,Own,445000,NA,NA,No,0,TRUE,2020,2021,0,39233,39233,435000,445000,10000,0,0,0,0,11000,11000,Yes,1,45,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,234,60000,Yes,0,1,REDACTED
2022-RepAct22-009469_Redacted.pdf,01/11/2023,FALSE,NA,NA,01/01/2021,2021,RIO GRANDE,PR,"RIO GRANDE, PR","RIO GRANDE, PR",PR,RIO GRANDE,12/31/2021,From 5 to 10 million,176,0,0,0,0,0,0,1132961,0,15787,Own,3500000,NA,NA,No,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,232,5e+05,No,0,0,REDACTED
2022-RepAct22-009470_Redacted.pdf,01/17/2023,FALSE,NA,NA,06/21/2021,2021,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,4,0,430,0,2658010,0,0,0,44136,0,Own,1300000,NA,NA,No,0,TRUE,2020,2021,0,5e+05,5e+05,0,1350000,1350000,0,40000,40000,0,40000,40000,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,250,120000,Yes,0,2,REDACTED
2022-RepAct22-009475_Redacted.pdf,01/16/2023,FALSE,NA,NA,01/01/2021,2021,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,26,0,3033,0,0,-435,0,246666,0,203115,Rent,NA,3000,NA,NA,0,TRUE,2020,2021,0,504529,504529,0,0,0,0,207344,207344,0,290485,290485,Yes,1,45,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,202,89000,No,0,0,REDACTED
2022-RepAct22-009477_Redacted.pdf,01/19/2023,FALSE,NA,NA,12/15/2019,2019,RINCON,PR,"RINCON, PR","RINCON, PR",PR,RINCON,12/31/2021,From 1 to 5 million,59,0,4464,0,1700129,2982,0,0,3110417,3475531,Own,445000,NA,NA,No,0,TRUE,2020,2021,0,20573,20573,435000,445000,10000,0,0,0,0,11000,11000,Yes,1,50,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,234,60000,Yes,0,1,REDACTED
2022-RepAct22-009478_Redacted.pdf,01/20/2023,FALSE,NA,NA,03/12/2020,2020,DORADO,PUERTO RICO,"DORADO, PUERTO RICO","DORADO, PUERTO RICO",PUERTO RICO,DORADO,12/31/2021,From 50 to 75 million,148,0,39604,0,37491537,8500223,0,758500,0,0,Own,6030000,NA,NA,No,0,TRUE,2020,2021,0,3389715,3389715,6030000,6030000,0,0,0,0,0,0,0,Yes,1,65,Financial,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,202,1642664,Yes,0,1,REDACTED
2022-RepAct22-009480_Redacted.pdf,01/12/2023,FALSE,NA,NA,06/07/2021,2021,HUMACAO,PUERTO RICO,"HUMACAO, PUERTO RICO","HUMACAO, PUERTO RICO",PUERTO RICO,HUMACAO,12/31/2021,From 1 to 5 million,0,0,0,0,0,0,0,105000,0,0,Own,670000,NA,NA,Yes,1,TRUE,2020,2021,0,0,0,0,930000,930000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,184,50000,No,0,0,REDACTED
2022-RepAct22-009496_Redacted.pdf,01/03/2023,FALSE,NA,NA,07/27/2017,2017,AGUADILLA,PUERTO RICO,"AGUADILLA, PUERTO RICO","AGUADILLA, PUERTO RICO",PUERTO RICO,AGUADILLA,12/31/2021,Less than 1 million,0,0,434000,0,0,0,0,0,0,0,Rent,NA,1000,NA,NA,0,TRUE,2020,2021,1500,80000,78500,0,0,0,0,0,0,4500,0,-4500,Yes,1,35,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,212,35000,Yes,0,1,REDACTED
2022-RepAct22-009497_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2020,2020,San Juan,PR,"San Juan, PR","San Juan, PR",PR,San Juan,12/31/2021,From 1 to 5 million,1,0,3824,0,134545,0,0,0,0,14773,Rent,NA,680,NA,NA,0,TRUE,2020,2021,5300,5800,500,0,0,0,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,139,9600,Yes,0,1,REDACTED
2022-RepAct22-009499_Redacted.pdf,01/16/2023,FALSE,NA,NA,10/08/2018,2018,SAN JUAN P,NA,"SAN JUAN, P","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,0,0,10016307,0,0,0,0,11,Own,5e+05,NA,NA,No,0,TRUE,2020,2021,15400000,1e+06,-14400000,0,0,0,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,208,50000,Yes,0,1,REDACTED
2022-RepAct22-009501_Redacted.pdf,01/16/2023,FALSE,NA,NA,05/23/2018,2018,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 25 to 50 million,1915,0,6781303,0,249286,0,0,252598,0,13709,Own,1e+07,NA,NA,No,0,TRUE,2020,2021,2e+07,17769000,-2231000,5e+06,1e+07,5e+06,2e+06,2e+06,0,350000,2500000,2150000,Yes,1,70,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,335,2500000,Yes,0,1,REDACTED
2022-RepAct22-009503_Redacted.pdf,01/17/2023,FALSE,NA,NA,06/06/2019,2019,DORADO PUERTO RIC,NA,"DORADO, PUERTO RIC","DORADO, PUERTO RIC",NA,DORADOPUERTO RIC,12/31/2021,From 25 to 50 million,188,0,0,0,0,0,0,125491,0,405610,Own,14500000,NA,NA,No,0,TRUE,2020,2021,6e+06,3450000,-2550000,1.7e+07,1e+07,-7e+06,4e+05,4e+06,3600000,5e+06,3375000,-1625000,Yes,1,50,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,280,5e+05,Yes,0,1,REDACTED
2022-RepAct22-009507_Redacted.pdf,01/10/2023,FALSE,NA,NA,05/10/2019,2019,TOA BAJA,PR,"TOA BAJA, PR","TOA BAJA, PR",PR,TOA BAJA,12/31/2021,Less than 1 million,2,0,0,0,622528,0,0,0,0,441,Rent,NA,1600,NA,NA,0,TRUE,2020,2021,140000,130000,-10000,0,0,0,2e+05,0,-2e+05,50000,1e+05,50000,Yes,1,60,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,330,110000,Yes,0,1,REDACTED
2022-RepAct22-009508_Redacted.pdf,01/16/2023,FALSE,NA,NA,12/22/2020,2020,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,0,0,0,0,0,33946,0,0,Rent,NA,1833,NA,NA,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,35,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,252,5000,Yes,10000,2,NA
2022-RepAct22-009509_Redacted.pdf,01/11/2023,FALSE,NA,NA,11/22/2019,2019,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,188,0,548622,0,310806,0,0,0,0,2465,Own,985000,NA,NA,No,0,TRUE,2020,2021,1500000,1360000,-140000,2458,985000,982542,2500000,0,-2500000,1e+05,120000,20000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,231,250000,Yes,0,1,NA
2022-RepAct22-009522_Redacted.pdf,01/11/2023,FALSE,NA,NA,03/17/2021,2021,CAROLINA,PR,"CAROLINA, PR","CAROLINA, PR",PR,CAROLINA,12/31/2021,From 10 to 25 million,0,0,0,0,1280460,0,0,33333,4756702,0,Own,2e+06,NA,NA,No,0,TRUE,2020,2021,0,850000,850000,0,2e+06,2e+06,0,6800000,6800000,0,60000,60000,Yes,1,25,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,330,150000,Yes,0,2,REDACTED
2022-RepAct22-009525_Redacted.pdf,01/05/2023,FALSE,NA,NA,06/09/2021,2021,HUMACAO,PR,"HUMACAO, PR","HUMACAO, PR",PR,HUMACAO,12/31/2021,From 1 to 5 million,406,0,1111825,0,74,0,0,80149,0,21000,Rent,NA,6000,NA,NA,0,TRUE,2020,2021,0,605000,605000,0,0,0,0,1e+05,1e+05,0,5e+07,5e+07,Yes,1,45,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,183,3e+05,Yes,0,2,REDACTED
2022-RepAct22-009526_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2021,2021,VEGA ALTA,PR,"VEGA ALTA, PR","441 SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,102,0,0,0,0,0,0,232346,0,0,Own,575000,NA,NA,No,0,TRUE,2020,2021,0,24857,24857,0,0,0,0,0,0,0,25000,25000,Yes,1,25,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,185,50000,No,0,0,REDACTED
2022-RepAct22-009527_Redacted.pdf,01/11/2023,FALSE,NA,NA,12/19/2019,2019,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,Less than 1 million,4,0,741,0,0,0,0,0,0,325,Rent,NA,3180,NA,NA,0,TRUE,2020,2021,0,25000,25000,0,0,0,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,236,25000,Yes,0,1,REDACTED
2022-RepAct22-009530_Redacted.pdf,01/03/2023,FALSE,NA,NA,06/14/2021,2021,RINCON,PR,"RINCON, PR","RINCON, PR",PR,RINCON,12/31/2021,From 1 to 5 million,0,0,36768,0,0,0,0,30461,9758,0,Rent,NA,3500,NA,NA,0,TRUE,2020,2021,0,1010000,1010000,0,0,0,0,0,0,0,0,0,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,225,60000,No,0,0,REDACTED
2022-RepAct22-009531_Redacted.pdf,01/03/2023,FALSE,NA,NA,06/20/2020,2020,DORADO,PR,"DORADO, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 25 to 50 million,0,0,0,0,0,252000,0,0,0,0,Rent,NA,6000,NA,NA,0,TRUE,2020,2021,0,2.7e+07,2.7e+07,0,0,0,0,1e+06,1e+06,0,5e+06,5e+06,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,250,1e+06,Yes,0,1,NA
2022-RepAct22-009533_Redacted.pdf,01/12/2023,FALSE,NA,NA,04/28/2021,2021,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 1 to 5 million,1459,0,0,0,1639015,1000,0,40833,544688,0,Own,9e+05,NA,NA,No,0,TRUE,2020,2021,0,135000,135000,0,9e+05,9e+05,0,5e+06,5e+06,0,20000,20000,Yes,1,80,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,325,1e+06,Yes,0,2,REDACTED
2022-RepAct22-009535_Redacted.pdf,01/16/2023,FALSE,NA,NA,07/26/2021,2021,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,0,0,0,0,0,11592,0,209056,Own,1e+06,NA,NA,No,0,TRUE,2020,2021,0,160000,160000,0,1e+06,1e+06,0,0,0,0,1e+05,1e+05,Yes,1,90,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,210,2e+05,Yes,0,1,REDACTED
2022-RepAct22-009537_Redacted.pdf,01/09/2023,FALSE,NA,NA,06/25/2019,2019,GUAYNABO,PR,"GUAYNABO, PR","GUAYNABO, PR",PR,GUAYNABO,12/31/2021,From 1 to 5 million,165,0,0,0,1228899,0,0,30986,0,0,Rent,NA,3500,NA,NA,0,TRUE,2020,2021,0,1452000,1452000,0,0,0,0,0,0,0,1e+05,1e+05,Yes,1,35,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,295,2e+05,Yes,0,1,REDACTED
2022-RepAct22-009543_Redacted.pdf,01/16/2023,FALSE,NA,NA,06/16/2021,2021,CAROLINA,PR,"CAROLINA, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,Less than 1 million,0,0,43558,0,0,0,0,14076,109450,15000,Rent,NA,2800,NA,NA,0,TRUE,2020,2021,0,250000,250000,0,0,0,0,0,0,0,20000,20000,Yes,1,45,Health Industry,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,186,45000,No,0,0,NA
2022-RepAct22-009550_Redacted.pdf,01/06/2023,FALSE,NA,NA,04/07/2021,2021,Dorado,PR,"Dorado, PR","Dorado, PR",PR,Dorado,12/31/2021,From 25 to 50 million,0,0,0,0,0,0,0,283243,0,0,Own,11500000,NA,NA,No,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,249,310000,No,0,0,REDACTED
2022-RepAct22-009554_Redacted.pdf,01/13/2023,FALSE,NA,NA,01/01/2019,2019,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 25 to 50 million,241191,0,38174,0,5884337,1124713,0,0,0,133098,Own,2500000,NA,NA,No,0,TRUE,2020,2021,2103344,355292,-1748052,225000,2400000,2175000,0,0,0,150000,5e+05,350000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,196,184102,Yes,0,1,REDACTED
2022-RepAct22-009563_Redacted.pdf,01/09/2023,FALSE,NA,NA,04/12/2020,2020,san Juan,pr,"san Juan, pr","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,0,0,0,0,102150,0,0,0,Rent,NA,600,NA,NA,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,NA,Telecommunication,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,365,10000,No,0,0,REDACTED
2022-RepAct22-009575_Redacted.pdf,03/29/2023,FALSE,NA,NA,02/01/2019,2019,SAN JUAN,PR,"SAN JUAN , PR","SAN JUAN , PR",PR,SAN JUAN,12/31/2020,From 1 to 5 million,0,0,166110,0,0,0,0,0,0,0,Own,2e+06,NA,NA,No,0,FALSE,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,40,Insurance,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,365,4e+05,No,0,0,REDACTED
2022-RepAct22-009596_Redacted.pdf,01/16/2023,FALSE,NA,NA,12/30/2020,2020,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 5 to 10 million,8186,0,1456623,0,0,0,0,52915,0,492214,Own,750000,NA,NA,No,0,TRUE,2020,2021,0,90000,90000,0,750000,750000,0,1e+05,1e+05,0,1e+05,1e+05,Yes,2,50,Other,FALSE,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,200,1e+05,Yes,0,1,NA
2022-RepAct22-009597_Redacted.pdf,01/12/2023,FALSE,NA,NA,01/01/2021,2021,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 10 to 25 million,579108,0,3256655,0,32226735,3471707,0,73483,0,55632,Own,2850000,NA,NA,No,0,TRUE,2020,2021,0,1500000,1500000,0,5e+06,5e+06,0,0,0,0,0,0,Yes,1,90,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,328,6e+05,Yes,0,1,REDACTED
2022-RepAct22-009599_Redacted.pdf,01/12/2023,FALSE,NA,NA,01/01/2021,2021,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 5 to 10 million,579108,0,3256655,0,32226735,3471707,0,73483,0,55632,Own,2850000,NA,NA,No,0,TRUE,2020,2021,0,1500000,1500000,0,5e+06,5e+06,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,337,6e+05,Yes,0,1,REDACTED
2022-RepAct22-009600_Redacted.pdf,01/12/2023,FALSE,NA,NA,02/01/2019,2019,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,622018,0,293836,152373,0,21365,0,0,Own,323600,NA,NA,No,0,TRUE,2020,2021,0,20000,20000,0,323600,323600,0,0,0,0,80000,80000,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,200,175000,No,0,0,REDACTED
